"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.955743310E-1,9.690931439E-2,-1.561316848E-1,9.845867157E0,9.847581865E0
2.980889660E-1,1.256231815E-1,-1.465603858E-1,9.831509590E0,9.833404393E0
3.006035500E-1,1.112662554E-1,-1.322034448E-1,9.793225288E0,9.794749587E0
3.031181850E-1,1.064806059E-1,-1.369891018E-1,9.798010826E0,9.799546943E0
3.056327680E-1,1.351944804E-1,-1.657029688E-1,9.821938515E0,9.824266446E0
3.075127680E-1,1.304088384E-1,-1.992024779E-1,9.850652695E0,9.853529652E0
3.100273520E-1,1.112662554E-1,-1.609173268E-1,9.841081619E0,9.843026059E0
3.125419350E-1,9.690931439E-2,-1.369891018E-1,9.831509590E0,9.832941485E0
3.150565700E-1,1.016949639E-1,-1.704886109E-1,9.817152977E0,9.819159883E0
3.175711540E-1,1.160518974E-1,-1.657029688E-1,9.817152977E0,9.819237144E0
3.200857890E-1,9.212367237E-2,-1.465603858E-1,9.836296082E0,9.837819236E0
3.226003720E-1,1.064806059E-1,-1.896311939E-1,9.855438232E0,9.857837535E0
3.251149560E-1,8.733802289E-2,-1.657029688E-1,9.831509590E0,9.833293763E0
3.276295910E-1,7.298108935E-2,-1.609173268E-1,9.807581902E0,9.809173430E0
3.301441750E-1,4.905286431E-2,-1.417747438E-1,9.812367439E0,9.813514204E0
3.326588100E-1,8.733802289E-2,-1.465603858E-1,9.826724052E0,9.828204998E0
3.351733930E-1,6.340979785E-2,-1.465603858E-1,9.821938515E0,9.823236581E0
3.370537060E-1,9.690931439E-2,-1.561316848E-1,9.826724052E0,9.828442100E0
3.395682890E-1,7.776673883E-2,-1.752742529E-1,9.798010826E0,9.799886983E0
3.420828720E-1,8.733802289E-2,-1.561316848E-1,9.798010826E0,9.799643931E0
3.445975080E-1,9.212367237E-2,-1.417747438E-1,9.821938515E0,9.823393662E0
3.471120910E-1,8.255238086E-2,-1.704886109E-1,9.817152977E0,9.818980285E0
3.496267270E-1,8.733802289E-2,-1.513460279E-1,9.802796364E0,9.804353630E0
3.521413100E-1,1.208375469E-1,-1.704886109E-1,9.841081619E0,9.843300032E0
3.546558930E-1,1.160518974E-1,-1.657029688E-1,9.812367439E0,9.814452623E0
3.571705290E-1,9.690931439E-2,-1.561316848E-1,9.812367439E0,9.814088000E0
3.596851120E-1,8.733802289E-2,-1.704886109E-1,9.807581902E0,9.809452434E0
3.621997470E-1,9.690931439E-2,-1.465603858E-1,9.793225288E0,9.794801321E0
3.647143310E-1,1.304088384E-1,-1.657029688E-1,9.812367439E0,9.814632887E0
3.665950080E-1,1.256231815E-1,-1.896311939E-1,9.836296082E0,9.838925845E0
3.691095910E-1,7.776673883E-2,-1.657029688E-1,9.793225288E0,9.794935767E0
3.716241750E-1,9.212367237E-2,-1.992024779E-1,9.807581902E0,9.810037266E0
3.741388100E-1,8.255238086E-2,-1.944168359E-1,9.831509590E0,9.833778197E0
3.766533930E-1,9.212367237E-2,-1.848455518E-1,9.831509590E0,9.833678634E0
3.791680290E-1,7.298108935E-2,-1.657029688E-1,9.817152977E0,9.818822551E0
3.816826120E-1,8.255238086E-2,-1.609173268E-1,9.821938515E0,9.823603487E0
3.841971950E-1,9.690931439E-2,-1.704886109E-1,9.821938515E0,9.823896069E0
3.867118310E-1,9.212367237E-2,-1.944168359E-1,9.831509590E0,9.833863203E0
3.892264140E-1,7.776673883E-2,-1.896311939E-1,9.793225288E0,9.795369784E0
3.917410500E-1,8.255238086E-2,-1.561316848E-1,9.807581902E0,9.809171971E0
3.942556330E-1,8.255238086E-2,-1.657029688E-1,9.798010826E0,9.799759615E0
3.961376640E-1,7.776673883E-2,-2.039881349E-1,9.821938515E0,9.824364357E0
3.986522470E-1,8.733802289E-2,-2.279163599E-1,9.783653259E0,9.786697344E0
